"No Frills","Black Diamond Cheestrings","700 Strasburg Road Kitchener, ON   N2E 2M2",4.44
"No Frills","Butcher's Choice® Fresh Dinner Sausages","700 Strasburg Road Kitchener, ON   N2E 2M2","2.97 lb"
"No Frills",Italpasta,"700 Strasburg Road Kitchener, ON   N2E 2M2",0.97
"No Frills","Robin Hood Quick Bread","700 Strasburg Road Kitchener, ON   N2E 2M2",2.47
"No Frills","Bunched Spinach","700 Strasburg Road Kitchener, ON   N2E 2M2","0.97 ea"
"No Frills","Clic Chick Peas or Red Kidney Beans","700 Strasburg Road Kitchener, ON   N2E 2M2",0.97
"No Frills","E.D. Smith Pie Filling","700 Strasburg Road Kitchener, ON   N2E 2M2",2.97
"No Frills","Pam Cooking Spray","700 Strasburg Road Kitchener, ON   N2E 2M2",2.97
"No Frills","Lantic Brown, Yellow, or Icing Sugar","700 Strasburg Road Kitchener, ON   N2E 2M2",1.97
"No Frills","Shan Spices","700 Strasburg Road Kitchener, ON   N2E 2M2",0.88
"No Frills","Shirriff Pie Filling","700 Strasburg Road Kitchener, ON   N2E 2M2",4/5.00
"No Frills","Welch's Frozen Fruit","700 Strasburg Road Kitchener, ON   N2E 2M2",3.97
"No Frills","Oasis Premium Orange Juice or Health Break Juice","700 Strasburg Road Kitchener, ON   N2E 2M2",2.47
"No Frills","no name® Evaporated Milk","700 Strasburg Road Kitchener, ON   N2E 2M2",0.97
"No Frills","Ziggy's® Deli Meat","700 Strasburg Road Kitchener, ON   N2E 2M2",5.00
"No Frills","Famer's Market™ Carrots, Yellow Cooking Onions or Beets","700 Strasburg Road Kitchener, ON   N2E 2M2",1.97
"No Frills","Golden Mill Vienna Bread or Rubschlager Rye Bread","700 Strasburg Road Kitchener, ON   N2E 2M2",1.97
"No Frills","Assorted Squash","700 Strasburg Road Kitchener, ON   N2E 2M2","0.67 lb"
"No Frills","Lantic White Granulated Sugar","700 Strasburg Road Kitchener, ON   N2E 2M2",1.44
"No Frills","Rubicon Nectar","700 Strasburg Road Kitchener, ON   N2E 2M2",1.47
"No Frills","Rooster Scented Jasmine Rice","700 Strasburg Road Kitchener, ON   N2E 2M2",10.88
"No Frills","Pork Tenderloin","700 Strasburg Road Kitchener, ON   N2E 2M2","2.97 lb"
"No Frills","Anchor's Bay Whole Shrimp","700 Strasburg Road Kitchener, ON   N2E 2M2",5.88
"No Frills","Piller's Pepperettes","700 Strasburg Road Kitchener, ON   N2E 2M2",6.97
"No Frills","White Castle Butter Cookies","700 Strasburg Road Kitchener, ON   N2E 2M2",2.88
"No Frills","Farmer's Market™ Coffee Cake","700 Strasburg Road Kitchener, ON   N2E 2M2",5.00
"No Frills","Kraft Philadelphia Cream Cheese or Dips","700 Strasburg Road Kitchener, ON   N2E 2M2",2.97
"No Frills","T&T Aloe Vera Drink","700 Strasburg Road Kitchener, ON   N2E 2M2",1.88
"No Frills","Ziploc Storage Bags","700 Strasburg Road Kitchener, ON   N2E 2M2",2.47
"No Frills","Field Tomatoes","700 Strasburg Road Kitchener, ON   N2E 2M2","0.67 lb"
"No Frills","Gold Seal Pink Salmon","700 Strasburg Road Kitchener, ON   N2E 2M2",3/5.00
"No Frills","Cool Whip","700 Strasburg Road Kitchener, ON   N2E 2M2",2.47
"No Frills","Bok Choy or Nappa Cabbage","700 Strasburg Road Kitchener, ON   N2E 2M2","0.48 lb"
"No Frills","Crisco Shortening or Maple Leaf Tenderflake Lard","700 Strasburg Road Kitchener, ON   N2E 2M2",1.97
"No Frills","Rooster Condensed Milk","700 Strasburg Road Kitchener, ON   N2E 2M2",1.88
"No Frills","Raw Shell-On Shrimp","700 Strasburg Road Kitchener, ON   N2E 2M2",5.97
"No Frills","Old Mill Bagels","700 Strasburg Road Kitchener, ON   N2E 2M2","2/ 3.00"
"No Frills","Aussie or Herbal Essence Hair Care","700 Strasburg Road Kitchener, ON   N2E 2M2",2.47
"No Frills","Dove Baby Wash","700 Strasburg Road Kitchener, ON   N2E 2M2",3.47
"No Frills","Old El Paso Kits","700 Strasburg Road Kitchener, ON   N2E 2M2",2.97
"No Frills","Dan-D-Pak Cashews","700 Strasburg Road Kitchener, ON   N2E 2M2",11.88
"No Frills","Daawat Basmati Rice","700 Strasburg Road Kitchener, ON   N2E 2M2",8.97
"No Frills","Carl Buddig Sliced Deli Meat","700 Strasburg Road Kitchener, ON   N2E 2M2",4/3.00
"No Frills","St Hubert Pies","700 Strasburg Road Kitchener, ON   N2E 2M2",5.97
"No Frills","Fresh Chicken Legs Bagged or Halal Chicken Legs","700 Strasburg Road Kitchener, ON   N2E 2M2","1.87 lb"
"No Frills","Huggies Snug & Dry or Lil Movers or Pampers Baby Dry, Cruisers or Swaddlers Diapers","700 Strasburg Road Kitchener, ON   N2E 2M2",29.97
"No Frills","Swanson Hungry-Man Dinners","700 Strasburg Road Kitchener, ON   N2E 2M2",2.97
"No Frills","Medjool Dates","700 Strasburg Road Kitchener, ON   N2E 2M2",10.97
"No Frills","Robin Hood Flour","700 Strasburg Road Kitchener, ON   N2E 2M2",3.97
"No Frills","Lactantia Butter","700 Strasburg Road Kitchener, ON   N2E 2M2",2.88
"No Frills","Mars or Hershey Chocolate Bars","700 Strasburg Road Kitchener, ON   N2E 2M2",0.77
"No Frills","PC® Whole White Mushrooms","700 Strasburg Road Kitchener, ON   N2E 2M2","0.97 ea"
"No Frills","Boneless Pork Loin Rib End or Centre Portions","700 Strasburg Road Kitchener, ON   N2E 2M2","2.97 lb"
